PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Terance Mann,SG-SF,11.51,3.14,3.3,32.5,38.5,4.00%,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75'',2019
Terence Davis,SG,10.69,2.96,3.28,29.5,34,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75'',2019
Tremont Waters,PG,10.76,3.11,3.07,30.5,40.5,6.60%,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25'',2019
Ty Jerome,PG,11.21,3.12,3.4,26,31.5,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4'',2019
Tyler Cook,PF,11.32,3.1,3.28,27.5,32,6.10%,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5'',2019
Tyler Herro,SG,-,-,-,-,-,7.10%,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25'',2019
Zach Norvell Jr.,SG,11.6,3.34,3.43,24,30,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6'',2019
Zion Williamson,PF,-,-,-,-,-,-%,-,-,,,,-,,2019
Aaron Holiday,PG,10.96,3.22,3.27,25.5,33,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5'',2018
Alize Johnson,PF,11.83,3.28,3.38,25,31,8.10%,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75'',2018
Allonzo Trier,SG,11.02,2.97,3.14,32,40,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75'',2018
Anfernee Simons,SG-PG,11.27,3.16,3.1,32,41.5,7.70%,8.75,9,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25'',2018
Austin Wiley,C,12.79,3.27,3.3,28,33.5,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5'',2018
Billy Preston,PF,11.26,3.35,3.2,25,33,5.45%,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2'',2018
Brandon McCoy,C,11.77,3.31,3.23,27.5,32,8.70%,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2'',2018
Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34,7.60%,9,10,6' 6.25'',6' 7.5'',8' 7.5'',202,6' 10.25'',2018
Bruce Brown,SG-PG,11.11,3.44,3.2,32.5,38,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9'',2018
Bruno Fernando,C,12.19,3.03,3.23,29,35,5.25%,9.5,10,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25'',2018
Caleb Martin,SF-SG,10.43,2.75,3.26,29,36.5,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10'',2018
Carsen Edwards,PG,11.59,3.15,3.2,28.5,34.5,6.30%,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25'',2018
Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36,5.05%,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5'',2018
Cody Martin,SG-SF,10.64,3.05,3.09,29,36.5,5.45%,8.5,9,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25'',2018
Collin Sexton,PG,-,-,-,-,-,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25'',2018
DeAnthony Melton,SG-PG,11.48,3.33,3.23,31,36.5,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5'',2018
Devon Hall,SG,10.95,3.16,3.27,25,31,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75'',2018
Devonte Graham,PG,11.28,3.15,3.21,31,37,4.80%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25'',2018
Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6'',2018
Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,7.00%,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75'',2018
George King,SF-SG,10.75,3.08,3.29,31,39,7.25%,9,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5'',2018
Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,5.55%,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25'',2018
Hamidou Diallo,SG,10.53,3.14,3.1,32.5,40.5,4.45%,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5'',2018
Isaac Haas,C,-,-,-,-,-,12.55%,10,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303,7' 5'',2018
Jacob Evans,SG-SF,11.11,3.14,3.2,28,35.5,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25'',2018
Jalen Brunson,PG,10.59,3.11,3.15,29,37,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4'',2018
Jaren Jackson,PF-C,-,-,-,-,-,7.20%,10,10,6' 9.75'',6' 11.25'',9' 2'',236,7' 5.25'',2018
Jaylen Barford,PG-SG,11.39,3.21,3.31,27,33,11.65%,8,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5'',2018
Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,5.00%,8,8,6' 1.5'',6' 2.75'',8' 2'',179,6' 5.5'',2018
Jerome Robinson,SG,-,-,-,-,-,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25'',2018
Jevon Carter,PG,11.04,3.05,3.18,29,36.5,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25'',2018
Jontay Porter,C-PF,11.9,3.07,3.4,25.5,31,13.85%,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236,7' 0.25'',2018
Josh Okogie,SG,11.08,3.03,3.04,33,42,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0'',2018
Justin Jackson,PF,-,-,-,-,-,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3'',2018
Keenan Evans,PG,-,-,-,-,-,6.50%,8.5,8,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25'',2018
Keita Bates-Diop,SG-SF,11.2,3.28,3.17,30.5,35,5.35%,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25'',2018
Kenrich Williams,SF,10.86,3.28,3.19,28,33,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25'',2018
Kevin Hervey,PF,11.28,3.15,3.36,27.5,32,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5'',2018
Kevin Huerter,SG,10.89,2.97,3.09,31,38,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5'',2018
Kevin Knox,SF,-,-,-,-,-,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75'',2018
Khyri Thomas,SG,10.96,3.18,3.18,30,35,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5'',2018
Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25'',2018
Kris Wilkes,SF,11.29,3.16,3.24,28,35.5,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205,6' 10.25'',2018
Landry Shamet,PG,11.26,3.21,3.11,31,39.5,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75'',2018
Lonnie Walker,SG,10.87,2.91,3.06,31.5,40,5.65%,9,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25'',2018
Malik Newman,SG,10.9,3.18,3.13,27.5,33.5,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5'',2018
Melvin Frazier,SF-SG,11.24,3.08,3.08,31,40.5,7.90%,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75'',2018
Michael Porter,SF-PF,-,-,-,-,-,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211,7' 0.25'',2018
Miles Bridges,SF,-,-,-,-,-,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5'',2018
Mohamed Bamba,C,-,-,-,-,-,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10'',2018
Moritz Wagner,C-PF,11.48,3.07,3.18,27,34,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0'',2018
Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2'',2018
PJ Washington,PF,11.39,3.43,3.2,27,34,6.85%,9,10.25,6' 6.5'',6' 8'',8' 11'',223,7' 2.5'',2018
Rawle Alkins,SG,11.5,3.09,3.15,32.5,40.5,8.90%,8.5,10,6' 2.75'',6' 4.25'',8' 3'',217.4,6' 8.75'',2018
Ray Spalding,PF,11.48,3.2,3.34,26,32,5.55%,9.25,9,6' 9'',6' 10.25'',9' 1'',215.4,7' 4.75'',2018
Sagaba Konate,C,12.28,3.36,3.28,31.5,35,7.35%,9.25,10,6' 6.5'',6' 7.5'',8' 10.5'',246,7' 0'',2018
Shai Gilgeous-Alexander,PG,-,-,-,-,-,3.00%,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5'',2018
Shake Milton,SG-PG,11.07,3.19,3.25,30,33,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75'',2018
Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37,8.45%,8.25,9.5,6' 6.5'',6' 7.75'',8' 4'',211.6,6' 4.75'',2018
Theo Pinson,SG-SF,11.53,3.11,3.22,27,34,7.35%,9,9,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75'',2018
Tony Carr,PG,11.89,3.4,3.17,25,31.5,6.50%,8.5,9.75,6' 3'',6' 4.5'',8' 4'',198.8,6' 8.25'',2018
Trae Young,PG,-,-,-,-,-,5.35%,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3'',2018
Trevon Duval,PG,10.93,3.09,3.18,34,41.5,5.20%,8.75,10,6' 1.5'',6' 2.5'',8' 1.5'',191,6' 8.25'',2018
Troy Brown,SF,11.51,3.29,3.33,26,33,7.05%,9,9.75,6' 5.75'',6' 6.75'',8' 9'',208,6' 10.25'',2018
Tyus Battle,SG,11.04,2.87,3.07,32,37.5,4.00%,8.5,9.25,6' 5'',6' 6.75'',8' 6'',200.2,6' 9'',2018
Udoka Azubuike,C,12.97,3.65,3.12,31,31.5,7.95%,9.5,10,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7'',2018
Wendell Carter,C-PF,-,-,-,-,-,7.85%,8.5,9,6' 8.75'',6' 10'',9' 1'',251.4,7' 4.5'',2018
Yante Maten,PF-C,11.35,3.13,3.17,27,31.5,8.10%,9.25,10,6' 7.25'',6' 8.5'',8' 11.5'',246.2,7' 0.5'',2018
Zhaire Smith,SF-SG,11.02,3.15,3.05,33,41.5,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75'',2018
Alec Peters,PF,-,-,-,-,-,8.80%,8.75,10,6' 7.25'',6' 8.75'',8' 9'',232,6' 10.75'',2017
Caleb Swanigan,PF,-,-,-,-,-,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3'',2017
Cameron Oliver,PF,12.17,3.31,3.16,28,39.5,7.70%,9.5,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25'',2017
Chris Boucher,PF,-,-,-,-,-,5.40%,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4'',2017
D.J. Wilson,PF,-,-,-,-,-,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3'',2017
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38,5.30%,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9'',2017
Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36,6.50%,9.25,9.5,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0'',2017
De?Aaron Fox,PG,-,-,-,-,-,4.50%,8.5,8.5,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5'',2017
Derrick Walton Jr.,PG,11.28,3.12,3.29,26,32.5,5.80%,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5'',2017
Derrick White,PG,10.84,2.92,3.08,31,36.5,6.20%,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5'',2017
Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75'',2017
Dillon Brooks,SG-SF,11.14,3.24,3.21,31,37.5,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6'',2017
Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,5.90%,8.5,9.5,6' 1.25'',6' 3'',8' 1'',211.4,6' 10'',2017
Dwayne Bacon,SG-SF,11.7,3.22,3.22,30,36.5,7.90%,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10'',2017
Edmond Sumner,PG,-,-,-,-,-,8.30%,8.25,9,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9'',2017
Edrice Adebayo,PF-C,11.94,3.24,3.24,33.5,38.5,5.20%,9.5,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75'',2017
Frank Jackson,PG,10.94,2.7,3.14,34.5,42,6.70%,8.25,9,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5'',2017
Frank Mason III,PG,11.41,3.09,3.18,34,41,4.30%,8,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25'',2017
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,5.20%,8.5,9.5,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25'',2017
Harry Giles,PF,11.08,3,3.34,27,32.5,5.20%,9.5,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232,7' 3.25'',2017
Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,5.40%,9.5,10,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25'',2017
Isaiah Briscoe,PG,10.95,2.85,3.38,28,33.5,11.00%,9,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9'',2017
Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5'',2017
Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,6.80%,8.75,9,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5'',2017
Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31,11.90%,9.25,9.75,6' 5.5'',6' 6.75'',8' 9'',213.2,6' 10'',2017
Jaron Blossomgame,SF,11.47,3.35,3.17,31,35.5,5.70%,8.75,10.25,6' 5.75'',6' 6.75'',8' 8.5'',218.6,6' 10'',2017
Jarrett Allen,C,11.82,3,3.21,31.5,35.5,7.40%,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25'',2017
Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,9.10%,8,7.75,5' 10.75'',5' 11.5'',7' 11'',185.2,6' 5.5'',2017
John Collins,PF,11.66,3.27,3.27,33,37.5,5.40%,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25'',2017
Johnathan Motley,PF,-,-,-,-,-,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4'',2017
Jordan Bell,PF,10.63,2.83,3.21,31.5,38,5.40%,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75'',2017
Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,5.80%,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25'',2017
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,7.10%,9,9.5,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25'',2017
Justin Jackson (UNC),SF,10.8,3.06,3.3,29.5,35.5,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11'',2017
Justin Patton,C,11.8,3.31,3.46,26,30.5,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3'',2017
Kadeem Allen,PG,11.24,2.98,3.15,33,35.5,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25'',2017
Kennedy Meeks,C,12.91,3.35,3.5,28,30.5,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1'',2017
Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,5.00%,8.5,9.5,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6'',2017
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27,34,9.40%,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25'',2017
Luke Kennard,SG-SF,-,-,-,-,-,6.60%,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25'',2017
Markelle Fultz,PG,-,-,-,-,-,-%,-,-,,,,-,,2017
Melo Trimble,PG,10.75,2.92,3.27,24.5,32,10.60%,8,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2'',2017
Monte Morris,PG,11,3.2,3.19,28,33.5,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4'',2017
Moritz Wagner,PF,12,2.98,3.35,25.5,32.5,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0'',2017
Nigel Hayes,PF,11.81,2.94,3.27,29,33.5,11.50%,8.75,10,6' 6.25'',6' 7.5'',8' 8.5'',254.2,7' 3.25'',2017
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,5.60%,8.75,9.25,6' 1.5'',6' 3'',8' 3'',190.2,6' 7.25'',2017
OG Anunoby,SF,-,-,-,-,-,6.80%,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25'',2017
Omer Yurtseven,C,12.85,3.3,3.45,26,31.5,7.60%,9,10.5,6' 10.5'',6' 11.75'',9' 0.5'',248.4,7' 1'',2017
PJ Dozier,SG,10.84,2.98,3.15,34,39,6.10%,8.5,9.5,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11'',2017
Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31,11.00%,8.25,9.5,6' 4.25'',6' 5.75'',8' 6'',202.4,6' 8'',2017
Rawle Alkins,SG-SF,11.99,3.18,3.3,31.5,40.5,11.00%,8.75,10,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75'',2017
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35,40.5,5.50%,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75'',2017
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27,30.5,7.80%,8.75,8.75,6' 3.5'',6' 4.75'',8' 7'',211.6,6' 10'',2017
Svi Mykhailiuk,SG-SF,12.4,3.25,3.53,27,33,11.40%,8,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5'',2017
TJ Leaf,PF,11.55,3.27,3.27,29,34.5,6.80%,8.5,9.5,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11'',2017
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38,5.80%,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75'',2017
Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33,9.40%,9.5,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6'',2017
Thomas Welsh,PF-C,-,-,-,-,-,10.90%,9,10.5,6' 11.5'',7' 0.5'',9' 1.5'',254,7' 0'',2017
Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,12.00%,9.5,9.5,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5'',2017
Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36,4.70%,8.5,9.25,6' 3'',6' 4.5'',8' 3.5'',182.6,6' 5.25'',2017
Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,13.60%,8.75,8.75,6' 8.25'',6' 9.5'',8' 11.5'',215,7' 0'',2017
V.J. Beachem,SG-SF,11.18,3.19,3.26,30,37,6.80%,8.5,9,6' 6.25'',6' 8'',8' 8.5'',193.4,6' 10.25'',2017
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36,4.00%,8.75,9.5,6' 5.5'',6' 6.75'',8' 9.5'',193.4,7' 1'',2017
Zach Collins,PF-C,-,-,-,-,-,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1'',2017
Ben Bentil,PF,11.16,3.1,3.3,29,33,9.70%,9.5,10,6' 7.25'',6' 8.25'',8' 9'',229.2,7' 1.5'',2016
Brice Johnson,PF,11.88,2.94,3.2,33.5,38,7.50%,9,8.25,6' 9'',6' 10.5'',8' 10.5'',208.6,7' 0.5'',2016
Buddy Hield,SG,-,-,-,-,-,6.10%,8.5,9,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25'',2016
Caleb Swanigan,PF,12.8,-,-,26,29,12.55%,9,10.25,6' 7.5'',6' 8.5'',8' 11'',246.6,7' 3.5'',2016
Caris LeVert,SG,-,-,-,-,-,7.55%,8.5,9.25,6' 5.75'',6' 7'',8' 5'',191,6' 10'',2016
Cat Barber,PG,-,-,-,-,-,4.50%,8,8.5,6' 1.5'',6' 2.75'',7' 11.5'',173,6' 5.5'',2016
Cheick Diallo,PF,11.24,3.3,3.26,31,35,5.60%,8.5,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5'',2016
Chinanu Onuaku,C,11.65,3,3.5,27.5,33.5,8.55%,9,8,6' 9'',6' 10'',9' 0.5'',245.2,7' 2.75'',2016
Damian Jones,C,11.35,3.12,3.2,36,37,6.55%,8.75,10.5,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75'',2016
Daniel Hamilton,SG-SF,11.48,3.2,3.4,26,29,5.95%,9,8.5,6' 6.25'',6' 8'',8' 7.5'',197,6' 9'',2016
DeAndre Bembry,SG-SF,10.9,2.87,3.17,32,38,7.00%,8,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25'',2016
Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,6.50%,8.25,9,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5'',2016
Denzel Valentine,SG-SF,10.51,3.22,3.46,27,32,9.20%,8.5,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75'',2016
Deyonta Davis,PF,-,-,-,-,-,9.70%,9,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5'',2016
Diamond Stone,C,12.02,3.22,3.5,27,29.5,12.85%,8.5,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75'',2016
Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,6.45%,9,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75'',2016
Elgin Cook,SF,-,-,-,-,-,6.35%,8.5,10.25,6' 5'',6' 6.25'',8' 4.5'',209.8,6' 10'',2016
Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,3.95%,8.75,9.5,6' 2'',6' 3'',8' 3.5'',183.8,6' 8'',2016
Georges Niang,PF,11.64,3.17,3.49,25,31,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10'',2016
Henry Ellenson,PF,-,-,-,-,-,11.20%,8.5,9.75,6' 10'',6' 11.5'',9' 0'',242,7' 2.25'',2016
Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194,6' 6.25'',2016
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,9.25%,8.5,8.75,6' 3.25'',6' 4.5'',8' 4'',210,6' 8.75'',2016
Jake Layman,SF,11.35,2.82,3.24,33,39.5,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25'',2016
Jakob Poeltl,C,-,-,-,-,-,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75'',2016
Jaron Blossomgame,SF,11.53,3.26,3.2,35,41,5.25%,8.5,10,6' 6.25'',6' 7.25'',8' 6'',213.6,6' 10'',2016
Jarrod Uthoff,PF,11.52,3.03,3.5,29,34.5,6.00%,8.75,9,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5'',2016
Jaylen Brown,SG-SF,-,-,-,-,-,5.05%,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75'',2016
Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,5.15%,9,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75'',2016
Josh Hart,SG,11.15,3.15,3.2,29.5,38.5,5.75%,8.5,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5'',2016
Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75'',2016
Kay Felder,PG,11.52,2.9,3.15,35.5,44,5.80%,8.25,8.5,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5'',2016
Kris Dunn,PG,-,-,-,-,-,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5'',2016
Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,15.25%,8.25,9.5,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25'',2016
Malachi Richardson,SG-SF,10.56,3.25,3.33,33,38,7.00%,8.75,10,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0'',2016
Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,5.40%,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5'',2016
Malik Beasley,SG,-,0,-,-,-,6.90%,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7'',2016
Malik Newman,SG,10.88,3.11,3.28,30,35.5,5.60%,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75'',2016
Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,5.35%,9,9,6' 9'',6' 10.25'',8' 11.5'',211,7' 3'',2016
Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25'',2016
Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,8.50%,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25'',2016
